"","V1","V2","V3"
"1",15687,15688,15272
"2",15690,36686,17110
"3",15692,552,56423
"4",41514,17110,588
"5",15698,59020,16083
"6",87,21949,25775
"7",42651,57488,57484
"8",16176,15705,16108
"9",15706,22882,16
"10",16053,16182,16074
"11",15709,15696,15714
"12",15712,16038,174
"13",15715,16113,15719
"14",15717,218,162
"15",15719,15720,15718
"16",15779,9,15783
"17",15724,16423,23594
"18",15727,23612,19
"19",15730,18,23587
"20",15732,15743,2890
"21",15736,2890,294
"22",15738,15742,16369
"23",15741,16377,15745
"24",15743,28073,15742
"25",15746,267,16446
"26",15749,16401,15753
"27",15752,16448,42187
"28",16419,15747,286
"29",15718,57617,270
"30",15758,293,57480
"31",15761,275,15766
"32",15764,15897,35
"33",15767,57481,15669
"34",9337,15669,16350
"35",15773,32,16586
"36",15776,15684,106
"37",161,175,15777
"38",57754,17758,15721
"39",15780,15781,15782
"40",15783,22880,43
"41",56934,58,15653
"42",15781,57342,15784
"43",45932,40,31503
"44",15809,59,144
"45",56947,15631,15792
"46",15792,15796,15797
"47",53,2624,22832
"48",15801,16241,197
"49",15802,16037,16036
"50",16037,15803,15805
"51",15828,192,52
"52",15805,51,15804
"53",20019,22834,47
"54",15810,15473,15472
"55",57478,15683,21622
"56",15812,15653,15786
"57",58465,15815,57139
"58",15816,41,15815
"59",15471,15812,44
"60",15817,15818,57140
"61",15820,56986,15476
"62",15822,57127,63
"63",15825,62,57140
"64",15827,57397,15826
"65",57195,66,27358
"66",65,15828,15578
"67",15676,15667,57468
"68",27370,57338,15835
"69",15630,15835,15652
"70",15839,57086,41101
"71",57420,23579,9442
"72",15844,75,16235
"73",15847,20411,16166
"74",9534,15849,57417
"75",41084,203,72
"76",15853,57366,16194
"77",16524,15678,57467
"78",21249,21190,58755
"79",36883,15861,18575
"80",15862,7180,57339
"81",18577,15865,1117
"82",15868,20693,18583
"83",15871,1104,15874
"84",1110,18911,19799
"85",15874,18547,19815
"86",15877,18544,18558
"87",27604,21249,6
"88",22827,21833,15880
"89",15885,20607,20668
"90",57340,26829,18828
"91",15897,57415,15889
"92",16591,15890,353
"93",15891,15892,16586
"94",15895,15880,52092
"95",15898,15763,33081
"96",15901,57425,6478
"97",57422,15902,15903
"98",15906,57462,57455
"99",57430,110,57429
"100",15909,15910,16952
"101",22825,43397,22826
"102",15911,15913,15914
"103",15917,351,58837
"104",15920,15924,105
"105",15923,104,16577
"106",15924,36,56888
"107",15928,16578,348
"108",15931,15926,27835
"109",15934,15915,16538
"110",99,58944,57431
"111",15939,56312,16002
"112",19146,2111,15942
"113",9462,347,56336
"114",16558,15940,15948
"115",6331,22824,22847
"116",15959,15972,15231
"117",15949,15960,15961
"118",15964,16542,16540
"119",22755,22786,22785
"120",15967,15968,15965
"121",15971,16541,15951
"122",15973,15958,35199
"123",15974,15960,15391
"124",15977,15961,15955
"125",15984,16905,56315
"126",22783,15986,22782
"127",15989,334,128
"128",15991,127,16510
"129",15994,27836,16512
"130",15997,15991,479
"131",16000,56331,15968
"132",40924,16003,57284
"133",16005,16022,142
"134",22788,22784,22790
"135",16010,16015,56899
"136",16011,142,16357
"137",16013,16014,16017
"138",56896,16015,16354
"139",16018,16006,16017
"140",16019,16115,179
"141",16024,16095,16060
"142",16027,133,136
"143",16033,16064,57214
"144",44,16036,16109
"145",16040,16112,182
"146",16044,16135,16049
"147",16050,16148,183
"148",16052,16074,16051
"149",16053,56939,16109
"150",160,22967,16075
"151",9447,16056,15587
"152",16059,16362,16064
"153",16062,16357,16022
"154",16065,16032,155
"155",16068,154,16095
"156",16080,157,16081
"157",156,16069,16070
"158",163,16070,16052
"159",16073,16071,16072
"160",22963,57576,150
"161",16077,16072,37
"162",16078,14,16412
"163",16071,16081,158
"164",16084,15777,15711
"165",16087,56931,16134
"166",16090,56941,167
"167",16093,166,16070
"168",16096,16023,16030
"169",16099,56885,16103
"170",16102,16116,16119
"171",57402,57431,57404
"172",16107,16097,56935
"173",16108,16109,15806
"174",16110,12,16114
"175",16039,37,16111
"176",16117,16101,16034
"177",57562,22779,57935
"178",16123,56886,16092
"179",16126,140,16026
"180",16129,56896,16014
"181",16132,15457,15423
"182",16137,145,15645
"183",16140,147,15644
"184",16136,16043,16114
"185",189,43818,16151
"186",281,46440,404
"187",16141,57385,16145
"188",16149,16049,57387
"189",57550,22777,185
"190",16145,16186,16152
"191",16157,57380,15805
"192",26826,51,15575
"193",16160,16162,20411
"194",16164,27337,195
"195",16167,194,16236
"196",16170,23590,28144
"197",16173,48,23618
"198",46440,52832,346
"199",16178,16150,15704
"200",16182,16183,16054
"201",16185,16147,16180
"202",15701,16111,16187
"203",57419,15553,75
"204",16195,27334,27326
"205",32610,47652,33540
"206",16202,1496,16206
"207",19586,4224,35737
"208",16207,4222,4238
"209",16208,1475,4226
"210",16211,27110,27163
"211",44432,10762,55436
"212",16217,2885,23597
"213",16220,28084,28078
"214",16223,28079,2891
"215",16227,16228,28134
"216",16231,2891,23600
"217",16234,2889,28123
"218",16242,15800,14
"219",16244,2888,23596
"220",16247,15707,270
"221",16456,2598,10702
"222",16251,15395,223
"223",16254,222,56741
"224",16257,30822,5607
"225",16260,30819,5614
"226",16261,16262,16266
"227",16265,57226,30715
"228",16268,30716,229
"229",16271,228,16306
"230",16274,56741,15589
"231",16276,57224,16275
"232",16279,57229,16316
"233",30900,16319,16280
"234",16281,16304,244
"235",16288,240,15380
"236",56721,16289,56700
"237",42941,47529,2300
"238",16294,56701,15228
"239",16295,16314,56694
"240",16298,16311,235
"241",57304,15611,255
"242",16303,56718,16310
"243",16305,30104,22733
"244",16308,234,16269
"245",16304,16309,448
"246",16312,16297,16301
"247",16315,16295,248
"248",16318,247,16277
"249",16321,16837,16280
"250",16324,16834,57224
"251",16327,16316,56702
"252",16330,30721,30724
"253",15887,57265,57303
"254",7405,16336,16337
"255",26830,241,57302
"256",57286,15606,57289
"257",31311,31297,56599
"258",58766,56529,56618
"259",16347,56583,31301
"260",40586,15774,42893
"261",16352,16353,16360
"262",16356,16011,16006
"263",16357,16358,264
"264",16006,263,15913
"265",57214,283,57213
"266",16368,16371,267
"267",16370,266,25
"268",16371,32991,32983
"269",16373,16430,16434
"270",16376,220,29
"271",16379,4586,16443
