"","V1","V2","V3"
"1",8823,7872,7871
"2",31,7874,7873
"3",16,7877,7876
"4",31,7880,14961
"5",633,7883,7882
"6",28936,27899,20926
"7",28264,16350,12504
"8",356,295,7887
"9",28261,28263,8320
"10",357,283,356
"11",530,7891,7881
"12",438,7894,7893
"13",527,7896,7895
"14",569,7899,7898
"15",630,7896,7900
"16",28261,12503,28263
"17",756,7903,7902
"18",665,7906,7905
"19",665,7908,7906
"20",986,7910,7909
"21",986,7913,7912
"22",1070,949,7915
"23",949,7918,7917
"24",15094,7915,7909
"25",1072,7920,7919
"26",8360,7923,7922
"27",723,7926,7925
"28",7923,755,866
"29",7927,631,630
"30",725,7884,7929
"31",733,7932,7931
"32",8035,7935,7934
"33",641,7937,7936
"34",641,27830,27692
"35",8035,7941,7935
"36",642,7944,7943
"37",529,7945,528
"38",28232,28339,2294
"39",7949,131,7947
"40",28008,17638,28261
"41",131,178,170
"42",180,7949,176
"43",28008,2140,17638
"44",230,281,7952
"45",130,7954,7953
"46",7960,7954,129
"47",10630,27973,16768
"48",567,7964,7963
"49",7968,7951,7965
"50",301,300,7965
"51",7966,301,302
"52",7966,7967,301
"53",16768,27973,10629
"54",284,7970,7969
"55",11714,1490,27697
"56",179,7951,178
"57",168,124,7971
"58",170,7971,131
"59",230,7952,178
"60",7980,168,7972
"61",171,7975,7974
"62",169,7978,7977
"63",169,7980,7978
"64",376,7981,27647
"65",232,299,302
"66",7983,232,302
"67",27689,8435,959
"68",229,7987,27672
"69",229,298,7988
"70",27686,7991,7990
"71",861,27667,8329
"72",750,7996,7995
"73",751,7999,7998
"74",9275,8001,27817
"75",750,7995,8281
"76",560,8003,8001
"77",8437,8434,8436
"78",9309,20926,23755
"79",1856,8010,8008
"80",29441,8012,8011
"81",1696,9746,8013
"82",1145,8016,8015
"83",8020,8018,8017
"84",1413,8019,1277
"85",1414,8021,8020
"86",1144,1276,8025
"87",20926,27899,29158
"88",11862,28259,28152
"89",1440,8031,8030
"90",597,27401,8033
"91",734,8035,8043
"92",643,8041,8037
"93",7941,643,8038
"94",10633,4008,28259
"95",840,8044,7934
"96",1082,8047,8046
"97",8048,27688,1211
"98",1083,8051,8050
"99",29527,17559,28684
"100",8703,1084,8054
"101",12484,28258,12483
"102",8057,8056,454
"103",648,8060,8059
"104",8066,8063,8062
"105",8066,8065,8063
"106",642,8066,7944
"107",651,8069,8068
"108",741,8071,8067
"109",649,8072,8058
"110",17534,29527,28684
"111",645,8076,8075
"112",19080,19084,22202
"113",737,8081,27530
"114",8079,650,646
"115",28257,4370,10783
"116",961,8092,8091
"117",8093,8086,968
"118",844,8096,8095
"119",28256,12442,2088
"120",8097,960,8098
"121",963,8088,8099
"122",962,8089,8091
"123",968,8100,960
"124",8089,8102,8086
"125",1091,8105,8104
"126",28255,12463,16514
"127",964,8109,8108
"128",964,1087,8109
"129",847,8113,8112
"130",1087,8114,8110
"131",843,8098,8116
"132",27520,8117,27824
"133",452,8119,8118
"134",12464,12180,28255
"135",544,8124,8123
"136",452,453,8126
"137",8128,547,8127
"138",8129,545,544
"139",454,8128,8120
"140",367,8132,8131
"141",532,8134,8133
"142",452,8126,8119
"143",634,8141,8140
"144",7968,281,230
"145",437,8144,8143
"146",467,8147,8146
"147",556,8150,8149
"148",357,8151,8165
"149",281,8152,283
"150",16802,12460,12461
"151",8155,531,8154
"152",634,8157,8156
"153",452,8134,8158
"154",532,8159,8140
"155",532,8161,8159
"156",439,531,8160
"157",8162,439,8160
"158",359,8151,439
"159",440,8163,8164
"160",12461,12460,16162
"161",528,7945,8163
"162",569,568,7899
"163",439,8151,8164
"164",529,7892,7946
"165",282,8168,8167
"166",359,8171,8170
"167",359,8162,8171
"168",8138,8137,8133
"169",285,8175,8174
"170",291,8178,8177
"171",27682,17533,29527
"172",282,8180,8173
"173",7968,295,8152
"174",438,7895,7894
"175",528,8143,529
"176",360,8142,8177
"177",12462,2412,28254
"178",358,8172,8181
"179",367,8135,8132
"180",545,8127,8184
"181",543,8186,8185
"182",437,8187,8144
"183",556,8189,8150
"184",7897,438,8146
"185",16809,12458,12459
"186",29161,23754,16023
"187",8192,555,658
"188",467,8194,8149
"189",12459,12458,28252
"190",8196,555,557
"191",300,7967,8210
"192",302,377,7966
"193",751,749,8202
"194",656,8203,8190
"195",656,8204,8203
"196",748,8207,8206
"197",567,8209,7964
"198",23670,29161,23756
"199",373,7887,8195
"200",8153,357,7889
"201",459,8211,8193
"202",528,8153,7886
"203",750,8281,27490
"204",564,8214,8213
"205",23053,23137,23103
"206",1103,8220,8219
"207",1232,27911,8221
"208",985,8224,8223
"209",857,8225,8226
"210",858,8229,8228
"211",17612,29059,22696
"212",982,8234,8233
"213",1105,8237,8236
"214",988,8240,8239
"215",8245,1110,8244
"216",988,8247,8246
"217",8242,8250,8249
"218",569,7898,7963
"219",859,8254,8253
"220",631,8255,7890
"221",16820,2089,8381
"222",727,8259,8258
"223",727,8261,8259
"224",852,8264,8263
"225",834,8267,8266
"226",8269,836,8268
"227",726,8272,8271
"228",833,8274,8273
"229",833,8276,8274
"230",727,8279,8278
"231",955,8280,16721
"232",731,8284,8283
"233",8285,1208,1209
"234",953,8286,952
"235",956,8294,8293
"236",1092,1079,8295
"237",19022,11909,4509
