"","V1","V2","V3"
"1",5,261,260
"2",3,264,263
"3",10,267,266
"4",32,270,269
"5",34,273,272
"6",21,275,274
"7",51,277,276
"8",31,280,279
"9",30,281,339
"10",44,284,283
"11",17,287,286
"12",289,15,288
"13",39,292,291
"14",27,294,293
"15",61,297,296
"16",15,300,299
"17",23,302,301
"18",16,304,303
"19",22,307,306
"20",14,309,301
"21",36,311,310
"22",6,314,313
"23",12,316,315
"24",8,317,298
"25",3,320,319
"26",32,269,322
"27",9,325,324
"28",9,267,325
"29",11,318,327
"30",1,264,259
"31",2,265,263
"32",10,329,326
"33",18,330,317
"34",30,333,332
"35",3,319,335
"36",41,338,337
"37",26,340,339
"38",30,339,333
"39",28,343,342
"40",75,346,345
"41",83,295,348
"42",61,349,297
"43",28,342,351
"44",41,353,352
"45",26,356,355
"46",27,358,341
"47",101,361,360
"48",58,362,569
"49",76,365,364
"50",55,368,367
"51",55,370,368
"52",36,372,291
"53",76,364,366
"54",125,376,375
"55",377,748,98
"56",128,379,378
"57",197,382,381
"58",219,385,384
"59",145,388,387
"60",169,391,390
"61",169,393,391
"62",118,396,395
"63",134,399,398
"64",144,386,400
"65",134,401,399
"66",133,403,402
"67",159,406,405
"68",135,409,408
"69",187,412,411
"70",158,414,404
"71",426,185,414
"72",170,416,415
"73",160,419,418
"74",668,198,420
"75",2,422,266
"76",117,425,424
"77",957,961,960
"78",136,429,428
"79",136,432,431
"80",45,435,434
"81",167,438,437
"82",212,441,440
"83",168,443,442
"84",188,445,444
"85",142,446,443
"86",141,448,447
"87",141,450,448
"88",202,453,452
"89",201,456,455
"90",205,459,458
"91",173,462,461
"92",175,464,463
"93",150,467,466
"94",100,363,469
"95",470,478,93
"96",472,121,93
"97",147,475,474
"98",94,468,477
"99",960,961,86
"100",120,480,479
"101",101,481,361
"102",56,482,573
"103",483,56,367
"104",957,68,961
"105",71,484,477
"106",54,486,485
"107",54,488,486
"108",52,491,490
"109",176,494,493
"110",177,496,454
"111",149,497,465
"112",202,495,463
"113",124,500,499
"114",147,503,502
"115",147,474,503
"116",97,471,506
"117",122,509,508
"118",124,504,510
"119",121,473,470
"120",174,512,511
"121",174,514,512
"122",126,359,515
"123",70,490,505
"124",123,517,516
"125",122,518,498
"126",122,520,518
"127",150,501,467
"128",97,506,507
"129",201,523,461
"130",222,525,524
"131",222,527,525
"132",72,529,528
"133",34,532,531
"134",50,535,534
"135",959,932,956
"136",72,528,536
"137",95,539,538
"138",124,510,500
"139",72,540,529
"140",49,533,276
"141",95,538,508
"142",33,541,322
"143",34,277,532
"144",21,543,279
"145",21,274,543
"146",50,534,544
"147",50,545,535
"148",76,546,365
"149",38,547,290
"150",35,550,549
"151",36,551,372
"152",23,554,553
"153",16,303,555
"154",48,31,531
"155",70,556,52
"156",558,31,48
"157",12,559,308
"158",13,560,305
"159",52,556,530
"160",99,562,561
"161",563,99,98
"162",564,562,99
"163",102,567,566
"164",125,561,378
"165",80,569,564
"166",345,80,563
"167",58,569,570
"168",292,482,572
"169",956,932,63
"170",38,292,574
"171",42,357,575
"172",27,293,358
"173",53,576,369
"174",39,291,573
"175",36,310,551
"176",101,578,566
"177",78,481,483
"178",126,579,360
"179",37,580,548
"180",22,306,552
"181",24,280,582
"182",19,275,323
"183",48,488,557
"184",193,583,439
"185",210,586,585
