"","V1","V2"
"1",1,259
"2",1,261
"3",1,262
"4",1,264
"5",1,423
"6",1,425
"7",2,262
"8",2,263
"9",2,265
"10",2,266
"11",2,422
"12",2,679
"13",3,263
"14",3,264
"15",3,319
"16",3,320
"17",3,328
"18",3,335
"19",4,312
"20",4,313
"21",4,315
"22",4,334
"23",4,335
"24",5,260
"25",5,261
"26",5,962
"27",5,963
"28",5,964
"29",5,968
"30",5,969
"31",5,970
"32",6,298
"33",6,299
"34",6,313
"35",6,314
"36",6,316
"37",6,317
"38",7,259
"39",7,260
"40",7,312
"41",7,314
"42",7,328
"43",7,330
"44",8,17
"45",8,286
"46",8,298
"47",8,300
"48",8,304
"49",8,317
"50",9,265
"51",9,267
"52",9,318
"53",9,320
"54",9,324
"55",9,325
"56",10,266
"57",10,267
"58",10,326
"59",10,329
"60",10,421
"61",10,922
"62",11,318
"63",11,319
"64",11,327
"65",11,334
"66",11,966
"67",11,967
"68",12,308
"69",12,309
"70",12,315
"71",12,316
"72",12,559
"73",12,966
"74",13,305
"75",13,307
"76",13,323
"77",13,324
"78",13,327
"79",13,560
"80",14,15
"81",14,288
"82",14,299
"83",14,301
"84",14,309
"85",14,316
"86",15,288
"87",15,289
"88",15,294
"89",15,299
"90",15,300
"91",15,303
"92",16,303
"93",16,304
"94",16,354
"95",16,356
"96",16,555
"97",16,965
"98",17,30
"99",17,281
"100",17,286
"101",17,287
"102",17,304
"103",17,965
"104",18,285
"105",18,286
"106",18,317
"107",18,330
"108",18,964
"109",19,268
"110",19,270
"111",19,275
"112",19,323
"113",19,325
"114",19,326
"115",20,268
"116",20,269
"117",20,321
"118",20,329
"119",20,909
"120",20,910
"121",21,274
"122",21,275
"123",21,278
"124",21,279
"125",21,543
"126",21,560
"127",22,306
"128",22,307
"129",22,552
"130",22,554
"131",22,559
"132",22,967
"133",23,301
"134",23,302
"135",23,308
"136",23,310
"137",23,553
"138",23,554
"139",24,278
"140",24,280
"141",24,305
"142",24,306
"143",24,581
"144",24,582
"145",25,288
"146",25,289
"147",25,293
"148",25,302
"149",25,311
"150",25,547
"151",26,281
"152",26,339
"153",26,340
"154",26,355
"155",26,356
"156",27,293
"157",27,294
"158",27,341
"159",27,343
"160",27,358
"161",27,555
"162",28,342
"163",28,343
"164",28,351
"165",28,353
"166",28,354
"167",28,355
"168",29,282
"169",29,284
"170",29,285
"171",29,287
"172",29,963
"173",30,281
"174",30,282
"175",30,287
"176",30,332
"177",30,333
"178",30,339
"179",31,48
"180",31,279
"181",31,280
"182",31,531
"183",31,542
"184",31,558
"185",32,269
"186",32,270
"187",32,271
"188",32,273
"189",32,274
"190",32,322
"191",33,321
"192",33,322
"193",33,541
"194",33,544
"195",33,913
"196",33,914
"197",34,272
"198",34,273
"199",34,277
"200",34,531
"201",34,532
"202",34,542
"203",34,543
"204",35,549
"205",35,550
"206",35,551
"207",35,552
"208",35,553
"209",35,581
"210",36,290
"211",36,291
"212",36,310
"213",36,311
"214",36,372
"215",36,551
"216",37,548
"217",37,550
"218",37,557
"219",37,558
"220",37,580
"221",37,582
"222",38,290
"223",38,292
"224",38,357
"225",38,358
"226",38,547
"227",38,574
"228",39,291
"229",39,292
"230",39,482
"231",39,573
"232",40,46
"233",40,331
"234",40,333
"235",40,336
"236",40,337
"237",40,339
"238",41,337
"239",41,338
"240",41,340
"241",41,352
"242",41,353
"243",41,739
"244",42,341
"245",42,342
"246",42,350
"247",42,357
"248",42,575
"249",42,755
"250",43,350
"251",43,351
"252",43,352
"253",43,760
"254",43,761
"255",43,762
"256",44,283
"257",44,284
"258",44,954
"259",44,955
"260",44,962
"261",45,282
"262",45,283
"263",45,331
"264",45,332
"265",45,434
"266",45,435
"267",46,66
"268",46,331
"269",46,336
"270",46,435
"271",46,714
"272",46,732
"273",47,64
"274",47,283
"275",47,433
"276",47,434
"277",47,953
"278",47,955
"279",47,957
"280",48,487
"281",48,488
"282",48,530
"283",48,531
"284",48,557
"285",48,558
"286",49,271
"287",49,272
"288",49,276
"289",49,533
"290",49,534
"291",49,541
"292",50,534
"293",50,535
"294",50,544
"295",50,545
"296",50,899
"297",50,907
"298",51,276
"299",51,277
"300",51,489
"301",51,491
"302",51,536
"303",52,70
"304",52,490
"305",52,491
"306",52,530
"307",52,532
"308",52,556
"309",53,369
"310",53,370
"311",53,371
"312",53,372
"313",53,548
"314",53,549
"315",53,576
"316",54,485
"317",54,486
"318",54,488
"319",54,546
"320",54,576
"321",54,580
"322",55,56
"323",55,367
"324",55,368
"325",55,370
"326",55,371
"327",55,573
"328",56,58
"329",56,362
"330",56,367
"331",56,482
"332",56,483
"333",56,573
"334",57,344
"335",57,346
"336",57,349
"337",57,571
"338",57,574
"339",57,575
"340",58,362
"341",58,482
"342",58,569
"343",58,570
"344",58,571
"345",58,572
"346",59,336
"347",59,338
"348",59,714
"349",59,734
"350",59,735
"351",60,733
"352",60,735
"353",60,739
"354",60,752
"355",60,753
"356",60,761
"357",61,296
"358",61,297
"359",61,349
"360",61,755
"361",61,756
"362",61,760
"363",62,751
"364",62,753
"365",62,756
"366",62,757
"367",62,762
"368",62,763
"369",63,657
"370",63,658
"371",63,932
"372",63,954
"373",63,956
"374",63,970
"375",64,955
"376",64,956
"377",64,957
"378",64,959
"379",64,960
"380",65,660
"381",65,661
"382",65,932
"383",65,958
"384",65,959
"385",66,433
"386",66,435
"387",66,731
"388",66,732
"389",66,953
"390",67,714
"391",67,730
"392",67,732
"393",67,933
"394",67,935
"395",68,945
"396",68,947
"397",68,953
"398",68,957
"399",68,961
"400",69,656
"401",69,657
"402",69,671
"403",69,672
"404",69,969
"405",70,93
"406",70,478
"407",70,484
"408",70,490
"409",70,505
"410",70,556
"411",71,476
"412",71,477
"413",71,484
"414",71,486
"415",71,487
"416",71,556
"417",72,528
"418",72,529
"419",72,533
"420",72,535
"421",72,536
"422",72,540
"423",73,537
"424",73,539
"425",73,540
"426",73,545
"427",73,900
"428",73,906
"429",74,489
"430",74,490
"431",74,505
"432",74,506
"433",74,521
"434",74,528
"435",75,295
"436",75,297
"437",75,345
"438",75,346
"439",75,347
"440",75,563
"441",76,364
"442",76,365
"443",76,366
"444",76,368
"445",76,369
"446",76,546
"447",77,363
"448",77,365
"449",77,468
"450",77,476
"451",77,485
"452",78,366
"453",78,367
"454",78,373
"455",78,481
"456",78,483
"457",79,362
"458",79,483
"459",79,565
"460",79,567
"461",79,569
"462",80,99
"463",80,344
"464",80,345
"465",80,563
"466",80,564
"467",80,569
"468",80,570
"469",81,733
"470",81,734
"471",81,754
"472",81,935
"473",81,936
"474",81,944
"475",82,737
"476",82,738
"477",82,751
"478",82,752
"479",82,754
"480",82,766
"481",83,295
"482",83,296
"483",83,348
"484",83,750
"485",83,757
"486",83,758
"487",84,758
"488",84,759
"489",84,763
"490",84,765
"491",84,766
"492",84,767
"493",85,654
"494",85,655
"495",85,656
"496",85,658
"497",85,659
"498",85,660
"499",85,663
"500",86,930
"501",86,931
"502",86,949
"503",86,958
"504",86,960
"505",86,961
"506",87,109
"507",87,659
"508",87,661
"509",87,664
"510",87,949
"511",87,950
"512",88,730
"513",88,731
"514",88,934
"515",88,940
"516",88,945
"517",88,946
"518",89,728
"519",89,729
"520",89,933
"521",89,934
"522",89,936
"523",89,937
"524",90,924
"525",90,925
"526",90,931
"527",90,946
"528",90,947
"529",90,948
"530",91,423
"531",91,424
"532",91,671
"533",91,673
"534",91,968
"535",92,394
"536",92,395
"537",92,662
"538",92,663
"539",92,672
"540",92,673
"541",92,674
"542",93,121
"543",93,470
"544",93,471
"545",93,472
"546",93,478
"547",93,505
"548",94,468
"549",94,469
"550",94,470
"551",94,477
"552",94,478
"553",94,479
"554",95,507
"555",95,508
"556",95,521
"557",95,529
"558",95,538
"559",95,539
"560",96,519
"561",96,520
"562",96,537
"563",96,538
"564",96,877
"565",96,878
"566",97,471
"567",97,472
"568",97,506
"569",97,507
"570",97,509
"571",97,510
"572",98,99
"573",98,106
"574",98,347
"575",98,348
"576",98,377
"577",98,563
"578",98,748
"579",99,377
"580",99,561
"581",99,562
"582",99,563
"583",99,564
"584",100,359
"585",100,361
"586",100,363
"587",100,364
"588",100,373
"589",100,469
"590",100,480
"591",101,360
"592",101,361
"593",101,481
"594",101,565
"595",101,566
"596",101,578
"597",102,561
"598",102,562
"599",102,564
"600",102,566
"601",102,567
"602",102,568
"603",102,577
"604",103,725
"605",103,727
"606",103,729
"607",103,736
"608",103,737
"609",103,776
"610",103,944
"611",104,105
"612",104,618
"613",104,620
"614",104,736
"615",104,737
"616",104,738
"617",105,620
"618",105,621
"619",105,738
"620",105,766
"621",105,767
"622",106,107
"623",106,348
"624",106,375
"625",106,748
"626",106,749
"627",106,750
"628",107,747
"629",107,749
"630",107,750
"631",107,759
"632",107,764
"633",108,619
"634",108,621
"635",108,746
"636",108,747
"637",108,764
"638",108,765
"639",109,653
"640",109,655
"641",109,659
"642",109,664
"643",109,665
"644",109,951
"645",110,397
"646",110,398
"647",110,402
"648",110,653
"649",110,654
"650",110,662
"651",111,924
"652",111,926
"653",111,928
"654",111,929
"655",111,930
"656",111,950
"657",112,664
"658",112,927
"659",112,928
"660",112,951
"661",112,952
"662",113,937
"663",113,938
"664",113,940
"665",113,941
"666",113,942
"667",113,948
"668",114,591
"669",114,592
"670",114,724
"671",114,726
"672",114,727
